S.no,District,Transaction_count,Transaction_amount,Quarter,Year,State
8580,gondia district,1714392,3601577354,2,2021,maharashtra
8581,ahmednagar district,16869500,32660327253,2,2021,maharashtra
8582,pune district,218732925,2.99E+11,2,2021,maharashtra
8583,beed district,6303927,13880929755,2,2021,maharashtra
8584,satara district,8589362,13372484168,2,2021,maharashtra
8585,jalgaon district,11683707,20222318555,3,2021,maharashtra
8586,latur district,9248789,15056539122,3,2021,maharashtra
8587,thane district,46296081,66370065441,3,2021,maharashtra
8588,bhandara district,2346620,4177653276,3,2021,maharashtra
8589,nandurbar district,2294230,4289557263,3,2021,maharashtra
8590,chandrapur district,5223272,7710188968,3,2021,maharashtra
8591,kolhapur district,11008132,17285308891,3,2021,maharashtra
8592,solapur district,22642205,41800216300,3,2021,maharashtra
8593,mumbai district,11491677,20168312967,3,2021,maharashtra
8594,sindhudurg district,901040,1629829530,3,2021,maharashtra
8595,dhule district,5529023,10014453952,3,2021,maharashtra
8596,wardha district,2839183,4424402893,3,2021,maharashtra
8597,parbhani district,6675022,10674377409,3,2021,maharashtra
8598,mumbai suburban district,67846531,1.00E+11,3,2021,maharashtra
8599,hingoli district,2161199,3965562681,3,2021,maharashtra
8600,ratnagiri district,1682108,2812554266,3,2021,maharashtra
8601,nanded district,8916177,16631083456,3,2021,maharashtra
8602,osmanabad district,6137588,10879099862,3,2021,maharashtra
8603,nagpur district,29998841,44274024438,3,2021,maharashtra
8604,buldhana district,7413428,13612640871,3,2021,maharashtra
8605,nashik district,39927545,60198709474,3,2021,maharashtra
8606,akola district,4155570,6724928545,3,2021,maharashtra
8607,yavatmal district,4696326,8082506308,3,2021,maharashtra
8608,aurangabad district,32667108,45343695948,3,2021,maharashtra
8609,amravati district,8512827,13891877202,3,2021,maharashtra
8610,washim district,47716080,89156949628,3,2021,maharashtra
8611,sangli district,8352537,14641584803,3,2021,maharashtra
8612,gadchiroli district,1543698,2975813666,3,2021,maharashtra
8613,raigad district,15666356,21716387177,3,2021,maharashtra
8614,palghar district,11918989,17245742714,3,2021,maharashtra
8615,jalna district,6262192,10808380341,3,2021,maharashtra
8616,gondia district,2236319,4202183466,3,2021,maharashtra
8617,ahmednagar district,23270731,41445914645,3,2021,maharashtra
8618,pune district,303322956,3.72E+11,3,2021,maharashtra
8619,beed district,8279040,16758879511,3,2021,maharashtra
8620,satara district,12010933,17327306885,3,2021,maharashtra
8621,jalgaon district,15456402,26909954530,4,2021,maharashtra
8622,latur district,12678966,20736966203,4,2021,maharashtra
8623,thane district,58731186,82756618879,4,2021,maharashtra
8624,bhandara district,3014353,5371508386,4,2021,maharashtra
8625,nandurbar district,3087075,5793563147,4,2021,maharashtra
8626,chandrapur district,7009727,10412294822,4,2021,maharashtra
8627,kolhapur district,15202155,23311142306,4,2021,maharashtra
8628,solapur district,29893044,53557566278,4,2021,maharashtra
8629,mumbai district,15677222,27535270023,4,2021,maharashtra
8630,sindhudurg district,1243850,2234445566,4,2021,maharashtra
8631,dhule district,7402020,13203246957,4,2021,maharashtra
8632,wardha district,3741381,5948081630,4,2021,maharashtra
8633,parbhani district,8899067,13987558040,4,2021,maharashtra
8634,mumbai suburban district,92733033,1.35E+11,4,2021,maharashtra
8635,hingoli district,2951247,5448438919,4,2021,maharashtra
8636,ratnagiri district,2267617,3804549056,4,2021,maharashtra
8637,nanded district,12362404,23236313336,4,2021,maharashtra
8638,osmanabad district,8478583,14851847464,4,2021,maharashtra
8639,nagpur district,37294016,55504861303,4,2021,maharashtra
8640,buldhana district,9965367,18366614805,4,2021,maharashtra
8641,nashik district,50753398,77325087056,4,2021,maharashtra
8642,akola district,5575093,9105402246,4,2021,maharashtra
8643,yavatmal district,6325995,11009717772,4,2021,maharashtra
8644,aurangabad district,42089766,58225600205,4,2021,maharashtra
8645,amravati district,10748480,18826698544,4,2021,maharashtra
8646,washim district,58312102,1.09E+11,4,2021,maharashtra
8647,sangli district,11336302,19350815033,4,2021,maharashtra
8648,gadchiroli district,2019389,3876064980,4,2021,maharashtra
8649,raigad district,19999796,27241010089,4,2021,maharashtra
8650,palghar district,15141805,21820045142,4,2021,maharashtra
8651,jalna district,8350020,14344117827,4,2021,maharashtra
8652,gondia district,2933396,5371056519,4,2021,maharashtra
8653,ahmednagar district,30809337,53652623922,4,2021,maharashtra
8654,pune district,371337618,4.55E+11,4,2021,maharashtra
8655,beed district,10966370,21562077523,4,2021,maharashtra
8656,satara district,15943920,22557502388,4,2021,maharashtra
8657,jalgaon district,17757988,30555178757,1,2022,maharashtra
8658,latur district,15356835,23856260979,1,2022,maharashtra
8659,thane district,66420329,91604299446,1,2022,maharashtra
8660,bhandara district,3461274,6404864501,1,2022,maharashtra
8661,nandurbar district,3622329,7060445513,1,2022,maharashtra
8662,chandrapur district,8245169,12334491816,1,2022,maharashtra
8663,kolhapur district,17433041,26386491969,1,2022,maharashtra
8664,solapur district,35130037,62436627061,1,2022,maharashtra
8665,mumbai district,17957610,30021552307,1,2022,maharashtra
8666,sindhudurg district,1428957,2551979374,1,2022,maharashtra
8667,dhule district,8541986,14920655482,1,2022,maharashtra
8668,wardha district,4351919,6817775708,1,2022,maharashtra
8669,parbhani district,10320054,15871955897,1,2022,maharashtra
8670,mumbai suburban district,104595313,1.48E+11,1,2022,maharashtra
8671,hingoli district,3618468,6309169660,1,2022,maharashtra
8672,ratnagiri district,2707601,4494723116,1,2022,maharashtra
8673,nanded district,14832112,26944854916,1,2022,maharashtra
8674,osmanabad district,9757272,17024101046,1,2022,maharashtra
8675,nagpur district,43072958,63065806665,1,2022,maharashtra
8676,buldhana district,11747608,20901275712,1,2022,maharashtra
8677,nashik district,59914404,89903593918,1,2022,maharashtra
8678,akola district,6689313,10723857465,1,2022,maharashtra
8679,yavatmal district,7555408,12885201281,1,2022,maharashtra
8680,aurangabad district,48288544,66140008400,1,2022,maharashtra
8681,amravati district,12901295,21513429781,1,2022,maharashtra
8682,washim district,73700274,1.36E+11,1,2022,maharashtra
8683,sangli district,13407114,22867674942,1,2022,maharashtra
8684,gadchiroli district,2430940,4667653819,1,2022,maharashtra
8685,raigad district,22836136,30642123150,1,2022,maharashtra
8686,palghar district,17329583,24541321852,1,2022,maharashtra
8687,jalna district,9770142,16932733608,1,2022,maharashtra
8688,gondia district,3447926,6533829707,1,2022,maharashtra
8689,ahmednagar district,35927347,61917805950,1,2022,maharashtra
8690,pune district,424149132,5.08E+11,1,2022,maharashtra
8691,beed district,12794151,24332097863,1,2022,maharashtra
8692,satara district,18005869,25280931606,1,2022,maharashtra
8693,jalgaon district,20794365,36575989750,2,2022,maharashtra
8694,latur district,18128124,28958359286,2,2022,maharashtra
8695,thane district,76359706,1.04E+11,2,2022,maharashtra
8696,bhandara district,4092003,7232792766,2,2022,maharashtra
8697,nandurbar district,4250672,8304946450,2,2022,maharashtra
8698,chandrapur district,9797860,14673749839,2,2022,maharashtra
8699,kolhapur district,20243542,30132865372,2,2022,maharashtra
8700,solapur district,41690075,74367210007,2,2022,maharashtra
8701,mumbai district,21906382,34652240504,2,2022,maharashtra
8702,sindhudurg district,1651248,2911299846,2,2022,maharashtra
8703,dhule district,10013481,17251071063,2,2022,maharashtra
8704,wardha district,5184451,8180933330,2,2022,maharashtra
8705,parbhani district,12237389,19217813800,2,2022,maharashtra
8706,mumbai suburban district,125227570,1.73E+11,2,2022,maharashtra
8707,hingoli district,4251385,7588716856,2,2022,maharashtra
8708,ratnagiri district,3132835,5132970050,2,2022,maharashtra
8709,nanded district,17724135,32660155636,2,2022,maharashtra
8710,osmanabad district,11489907,20295780297,2,2022,maharashtra
8711,nagpur district,52065290,75751126722,2,2022,maharashtra
8712,buldhana district,13912064,24793582297,2,2022,maharashtra
8713,nashik district,69128782,1.03E+11,2,2022,maharashtra
8714,akola district,7921437,12695451607,2,2022,maharashtra
8715,yavatmal district,9164377,15619715763,2,2022,maharashtra
8716,aurangabad district,55248137,75915458867,2,2022,maharashtra
8717,amravati district,15342341,24924375837,2,2022,maharashtra
8718,washim district,98129806,1.76E+11,2,2022,maharashtra
8719,sangli district,15400605,25758452266,2,2022,maharashtra
8720,gadchiroli district,2879207,5569253888,2,2022,maharashtra
8721,raigad district,26465986,34460851151,2,2022,maharashtra
8722,palghar district,19395512,26988617829,2,2022,maharashtra
8723,jalna district,11306875,19653230058,2,2022,maharashtra
8724,gondia district,4154419,7653207776,2,2022,maharashtra
8725,ahmednagar district,42201172,72250021262,2,2022,maharashtra
8726,pune district,520321567,6.21E+11,2,2022,maharashtra
8727,beed district,15497524,30601828692,2,2022,maharashtra
8728,satara district,20822882,29497978656,2,2022,maharashtra
8729,jalgaon district,21047727,34617511596,3,2022,maharashtra
8730,latur district,17812129,26257685564,3,2022,maharashtra
8731,thane district,80605581,1.04E+11,3,2022,maharashtra
8732,bhandara district,4087395,6757463931,3,2022,maharashtra
8733,nandurbar district,4162280,7210686511,3,2022,maharashtra
8734,chandrapur district,9596226,13325464158,3,2022,maharashtra
8735,kolhapur district,24897514,35290411637,3,2022,maharashtra
8736,solapur district,43898093,73768556417,3,2022,maharashtra
8737,mumbai district,72051672,98270574414,3,2022,maharashtra
8738,sindhudurg district,1433464,2330071830,3,2022,maharashtra
8739,dhule district,9760928,16123090143,3,2022,maharashtra
8740,wardha district,5641625,8211699040,3,2022,maharashtra
8741,parbhani district,9856335,15073054825,3,2022,maharashtra
8742,mumbai suburban district,197724164,2.48E+11,3,2022,maharashtra
8743,hingoli district,4340017,6879672883,3,2022,maharashtra
8744,ratnagiri district,3379494,4901770245,3,2022,maharashtra
8745,nanded district,18419096,30054993788,3,2022,maharashtra
8746,osmanabad district,11529406,18578961710,3,2022,maharashtra
8747,nagpur district,73292524,1.01E+11,3,2022,maharashtra
8748,buldhana district,14234928,22499077830,3,2022,maharashtra
8749,nashik district,75574380,1.10E+11,3,2022,maharashtra
8750,akola district,8839710,12866344717,3,2022,maharashtra
8751,yavatmal district,10601620,16269071014,3,2022,maharashtra
8752,aurangabad district,59756919,78617594736,3,2022,maharashtra
8753,amravati district,17634270,27223482345,3,2022,maharashtra
8754,washim district,17502495,31020762469,3,2022,maharashtra
8755,sangli district,17044884,26797586212,3,2022,maharashtra
8756,gadchiroli district,2957701,5179151794,3,2022,maharashtra
8757,raigad district,28475145,36394835875,3,2022,maharashtra
8758,palghar district,21251118,27858158775,3,2022,maharashtra
8759,jalna district,11721876,19006868143,3,2022,maharashtra
8760,gondia district,4236959,7259174997,3,2022,maharashtra
8761,ahmednagar district,42461860,70593347850,3,2022,maharashtra
8762,pune district,505018506,5.50E+11,3,2022,maharashtra
8763,beed district,15769922,29258345494,3,2022,maharashtra
8764,satara district,19771454,27386242964,3,2022,maharashtra
8765,jalgaon district,24441243,40517965270,4,2022,maharashtra
8766,latur district,20623462,30658727472,4,2022,maharashtra
8767,thane district,96634264,1.20E+11,4,2022,maharashtra
8768,bhandara district,5270967,8540677015,4,2022,maharashtra
8769,nandurbar district,5572337,9126918822,4,2022,maharashtra
8770,chandrapur district,12283830,17204912500,4,2022,maharashtra
8771,kolhapur district,29228843,40981314699,4,2022,maharashtra
8772,solapur district,49452868,83291615227,4,2022,maharashtra
8773,mumbai district,75229421,1.02E+11,4,2022,maharashtra
8774,sindhudurg district,1712359,2782675280,4,2022,maharashtra
8775,dhule district,11758841,19363163563,4,2022,maharashtra
8776,wardha district,6408966,9434313416,4,2022,maharashtra
8777,parbhani district,11428317,17658440737,4,2022,maharashtra
8778,mumbai suburban district,248827345,3.10E+11,4,2022,maharashtra
8779,hingoli district,4938947,8011969252,4,2022,maharashtra
8780,ratnagiri district,4187852,6141314534,4,2022,maharashtra
8781,nanded district,22110992,36598174602,4,2022,maharashtra
8782,osmanabad district,13538711,22307513856,4,2022,maharashtra
8783,nagpur district,82944788,1.16E+11,4,2022,maharashtra
8784,buldhana district,16400739,26195814509,4,2022,maharashtra
8785,nashik district,95624463,1.38E+11,4,2022,maharashtra
8786,akola district,10468300,15615681678,4,2022,maharashtra
8787,yavatmal district,12034565,18674258813,4,2022,maharashtra
8788,aurangabad district,67307091,90151467649,4,2022,maharashtra
8789,amravati district,21183979,33412668570,4,2022,maharashtra
8790,washim district,5525504,8785703924,4,2022,maharashtra
8791,sangli district,19941978,31162211677,4,2022,maharashtra
8792,gadchiroli district,3487868,6144813641,4,2022,maharashtra
8793,raigad district,32354836,40318975045,4,2022,maharashtra
8794,palghar district,24405823,31394133934,4,2022,maharashtra
8795,jalna district,12883252,20770728450,4,2022,maharashtra
8796,gondia district,4897879,8274042900,4,2022,maharashtra
8797,ahmednagar district,50187075,84188481406,4,2022,maharashtra
8798,pune district,544687754,5.90E+11,4,2022,maharashtra
8799,beed district,17664451,32278259900,4,2022,maharashtra
8800,satara district,23125362,32215623083,4,2022,maharashtra
8801,kangpokpi district,4187,12129421.38,1,2018,manipur
8802,noney district,646,747261.281,1,2018,manipur
8803,imphal east district,21960,26028937.81,1,2018,manipur
8804,thoubal district,8288,8366772.888,1,2018,manipur
8805,kakching district,1622,1924584.238,1,2018,manipur
8806,jiribam district,1305,3564799.452,1,2018,manipur
8807,ukhrul district,1399,1647288.665,1,2018,manipur
8808,tamenglong district,1007,1709209.246,1,2018,manipur
8809,kamjong district,329,236107.7404,1,2018,manipur
8810,chandel district,880,1376995.141,1,2018,manipur
8811,bishnupur district,7005,11341627.67,1,2018,manipur
8812,senapati district,613,577840.1682,1,2018,manipur
8813,pherzawl district,2,778.0896294,1,2018,manipur
8814,churachandpur district,4081,11708258.72,1,2018,manipur
8815,tengnoupal district,882,660028.7721,1,2018,manipur
8816,imphal west district,29863,46026262.67,1,2018,manipur
8817,kangpokpi district,6741,20315625.92,2,2018,manipur
8818,noney district,1051,2486030.857,2,2018,manipur
8819,imphal east district,42065,54561898.75,2,2018,manipur
8820,thoubal district,20689,17968719.22,2,2018,manipur
8821,kakching district,3879,6411513.657,2,2018,manipur
8822,jiribam district,2710,6467614.408,2,2018,manipur
8823,ukhrul district,2800,6394470.819,2,2018,manipur
8824,tamenglong district,1714,4747280.086,2,2018,manipur
8825,kamjong district,340,446574.1127,2,2018,manipur
