S.no,District,RegisteredUsers,Appopens,Quarter,Year,State
3872,rohtak district,147392,0,1,2019,haryana
3873,faridabad district,634024,0,1,2019,haryana
3874,mahendragarh district,109746,0,1,2019,haryana
3875,hisar district,245236,0,1,2019,haryana
3876,karnal district,177042,0,1,2019,haryana
3877,fatehabad district,101001,0,1,2019,haryana
3878,palwal district,141953,0,1,2019,haryana
3879,charkhi dadri district,35788,0,1,2019,haryana
3880,ambala district,136012,0,1,2019,haryana
3881,rewari district,207051,0,1,2019,haryana
3882,panchkula district,105044,0,1,2019,haryana
3883,bhiwani district,132014,0,1,2019,haryana
3884,sirsa district,146936,0,1,2019,haryana
3885,mewat district,92292,0,1,2019,haryana
3886,panipat district,181548,0,1,2019,haryana
3887,gurugram district,1159832,0,1,2019,haryana
3888,kaithal district,97311,0,1,2019,haryana
3889,kurukshetra district,115295,0,1,2019,haryana
3890,jhajjar district,139799,0,1,2019,haryana
3891,yamunanagar district,128212,541843,2,2019,haryana
3892,sonipat district,230883,1176456,2,2019,haryana
3893,jind district,138962,624097,2,2019,haryana
3894,rohtak district,169372,827978,2,2019,haryana
3895,faridabad district,716593,4975626,2,2019,haryana
3896,mahendragarh district,127605,682663,2,2019,haryana
3897,hisar district,277720,1298714,2,2019,haryana
3898,karnal district,204255,977665,2,2019,haryana
3899,fatehabad district,112543,417161,2,2019,haryana
3900,palwal district,165665,1271969,2,2019,haryana
3901,charkhi dadri district,42051,203007,2,2019,haryana
3902,ambala district,157049,747656,2,2019,haryana
3903,rewari district,238349,1505304,2,2019,haryana
3904,panchkula district,120567,577037,2,2019,haryana
3905,bhiwani district,151200,716927,2,2019,haryana
3906,sirsa district,163468,625593,2,2019,haryana
3907,mewat district,111194,822428,2,2019,haryana
3908,panipat district,208172,984634,2,2019,haryana
3909,gurugram district,1307319,10860136,2,2019,haryana
3910,kaithal district,110900,506145,2,2019,haryana
3911,kurukshetra district,132749,672331,2,2019,haryana
3912,jhajjar district,163202,913825,2,2019,haryana
3913,yamunanagar district,143922,1889582,3,2019,haryana
3914,sonipat district,261554,4157560,3,2019,haryana
3915,jind district,154136,2080553,3,2019,haryana
3916,rohtak district,190137,2969017,3,2019,haryana
3917,faridabad district,792884,18337601,3,2019,haryana
3918,mahendragarh district,144934,2455148,3,2019,haryana
3919,hisar district,308179,4755964,3,2019,haryana
3920,karnal district,230603,3506469,3,2019,haryana
3921,fatehabad district,124153,1474393,3,2019,haryana
3922,palwal district,188217,4785385,3,2019,haryana
3923,charkhi dadri district,47499,677064,3,2019,haryana
3924,ambala district,176487,2649300,3,2019,haryana
3925,rewari district,266893,5491022,3,2019,haryana
3926,panchkula district,134405,2132209,3,2019,haryana
3927,bhiwani district,168827,2457872,3,2019,haryana
3928,sirsa district,179271,2162548,3,2019,haryana
3929,mewat district,129646,3067264,3,2019,haryana
3930,panipat district,235346,3503361,3,2019,haryana
3931,gurugram district,1447473,42024810,3,2019,haryana
3932,kaithal district,123358,1747400,3,2019,haryana
3933,kurukshetra district,150733,2685834,3,2019,haryana
3934,jhajjar district,185095,3322231,3,2019,haryana
3935,yamunanagar district,159678,2169534,4,2019,haryana
3936,sonipat district,291479,4952233,4,2019,haryana
3937,jind district,170946,2493137,4,2019,haryana
3938,rohtak district,209750,3382162,4,2019,haryana
3939,faridabad district,862595,19751979,4,2019,haryana
3940,mahendragarh district,162341,3111883,4,2019,haryana
3941,hisar district,339753,5504854,4,2019,haryana
3942,karnal district,255280,4087110,4,2019,haryana
3943,fatehabad district,137065,1761322,4,2019,haryana
3944,palwal district,209434,5450339,4,2019,haryana
3945,charkhi dadri district,52964,800762,4,2019,haryana
3946,ambala district,194413,3060152,4,2019,haryana
3947,rewari district,294161,6508677,4,2019,haryana
3948,panchkula district,147023,2349281,4,2019,haryana
3949,bhiwani district,187294,2966045,4,2019,haryana
3950,sirsa district,196540,2561179,4,2019,haryana
3951,mewat district,149894,3948045,4,2019,haryana
3952,panipat district,262435,4153408,4,2019,haryana
3953,gurugram district,1574240,48600028,4,2019,haryana
3954,kaithal district,136563,2021458,4,2019,haryana
3955,kurukshetra district,166454,3068604,4,2019,haryana
3956,jhajjar district,206377,4019696,4,2019,haryana
3957,yamunanagar district,178961,2625978,1,2020,haryana
3958,sonipat district,325111,5887001,1,2020,haryana
3959,jind district,190347,3049401,1,2020,haryana
3960,rohtak district,231317,3889336,1,2020,haryana
3961,faridabad district,935992,22162012,1,2020,haryana
3962,mahendragarh district,181158,3850212,1,2020,haryana
3963,hisar district,382469,6580784,1,2020,haryana
3964,karnal district,283270,4897515,1,2020,haryana
3965,fatehabad district,152969,2162924,1,2020,haryana
3966,palwal district,233542,6895425,1,2020,haryana
3967,charkhi dadri district,59348,1013262,1,2020,haryana
3968,ambala district,215379,3471937,1,2020,haryana
3969,rewari district,323001,7633507,1,2020,haryana
3970,panchkula district,160534,2591842,1,2020,haryana
3971,bhiwani district,208228,3705008,1,2020,haryana
3972,sirsa district,219623,3131069,1,2020,haryana
3973,mewat district,176392,5813427,1,2020,haryana
3974,panipat district,293916,4951364,1,2020,haryana
3975,gurugram district,1700505,52800456,1,2020,haryana
3976,kaithal district,151832,2465825,1,2020,haryana
3977,kurukshetra district,184817,3491337,1,2020,haryana
3978,jhajjar district,230059,4723846,1,2020,haryana
3979,yamunanagar district,200549,2852631,2,2020,haryana
3980,sonipat district,362890,6034006,2,2020,haryana
3981,jind district,211019,3507406,2,2020,haryana
3982,rohtak district,254647,3888145,2,2020,haryana
3983,faridabad district,1010271,20303296,2,2020,haryana
3984,mahendragarh district,203682,4935866,2,2020,haryana
3985,hisar district,417164,6757973,2,2020,haryana
3986,karnal district,313828,5052334,2,2020,haryana
3987,fatehabad district,168959,2383530,2,2020,haryana
3988,palwal district,259528,8071157,2,2020,haryana
3989,charkhi dadri district,67004,1335183,2,2020,haryana
3990,ambala district,239160,3519221,2,2020,haryana
3991,rewari district,354024,7867627,2,2020,haryana
3992,panchkula district,175646,2382444,2,2020,haryana
3993,bhiwani district,232402,4442225,2,2020,haryana
3994,sirsa district,242506,3333130,2,2020,haryana
3995,mewat district,205921,6897864,2,2020,haryana
3996,panipat district,324833,4902131,2,2020,haryana
3997,gurugram district,1809777,34179491,2,2020,haryana
3998,kaithal district,168699,2713693,2,2020,haryana
3999,kurukshetra district,203788,3228540,2,2020,haryana
4000,jhajjar district,256581,5062230,2,2020,haryana
4001,yamunanagar district,221375,3252209,3,2020,haryana
4002,sonipat district,402001,7704246,3,2020,haryana
4003,jind district,232549,3961859,3,2020,haryana
4004,rohtak district,280325,5088867,3,2020,haryana
4005,faridabad district,1094570,26881573,3,2020,haryana
4006,mahendragarh district,225580,5818789,3,2020,haryana
4007,hisar district,453910,8467943,3,2020,haryana
4008,karnal district,344289,6013147,3,2020,haryana
4009,fatehabad district,184755,2802419,3,2020,haryana
4010,palwal district,285223,9607743,3,2020,haryana
4011,charkhi dadri district,74479,1577462,3,2020,haryana
4012,ambala district,262146,4037143,3,2020,haryana
4013,rewari district,388025,10985340,3,2020,haryana
4014,panchkula district,191215,2948241,3,2020,haryana
4015,bhiwani district,255889,5174248,3,2020,haryana
4016,sirsa district,266572,3948058,3,2020,haryana
4017,mewat district,234889,8159589,3,2020,haryana
4018,panipat district,357830,6114120,3,2020,haryana
4019,gurugram district,1949331,52547158,3,2020,haryana
4020,kaithal district,185714,3114941,3,2020,haryana
4021,kurukshetra district,223297,3932294,3,2020,haryana
4022,jhajjar district,284852,6477380,3,2020,haryana
4023,yamunanagar district,242753,3843610,4,2020,haryana
4024,sonipat district,441088,9660561,4,2020,haryana
4025,jind district,254452,4761235,4,2020,haryana
4026,rohtak district,305922,6466541,4,2020,haryana
4027,faridabad district,1182635,32798951,4,2020,haryana
4028,mahendragarh district,245723,7015783,4,2020,haryana
4029,hisar district,490971,10488914,4,2020,haryana
4030,karnal district,374733,7240718,4,2020,haryana
4031,fatehabad district,200390,3430122,4,2020,haryana
4032,palwal district,310698,11415073,4,2020,haryana
4033,charkhi dadri district,81772,1927582,4,2020,haryana
4034,ambala district,285566,4789038,4,2020,haryana
4035,rewari district,421106,13482897,4,2020,haryana
4036,panchkula district,207622,3577436,4,2020,haryana
4037,bhiwani district,279824,6427240,4,2020,haryana
4038,sirsa district,289231,4751601,4,2020,haryana
4039,mewat district,260584,9795333,4,2020,haryana
4040,panipat district,391952,7475136,4,2020,haryana
4041,gurugram district,2104240,70303122,4,2020,haryana
4042,kaithal district,202911,3708370,4,2020,haryana
4043,kurukshetra district,242556,4668046,4,2020,haryana
4044,jhajjar district,313144,8073998,4,2020,haryana
4045,yamunanagar district,261709,4171624,1,2021,haryana
4046,sonipat district,475192,10259395,1,2021,haryana
4047,jind district,273932,4823696,1,2021,haryana
4048,rohtak district,329147,7034036,1,2021,haryana
4049,faridabad district,1272506,37824622,1,2021,haryana
4050,mahendragarh district,265121,7786463,1,2021,haryana
4051,hisar district,526528,11468230,1,2021,haryana
4052,karnal district,402850,7618470,1,2021,haryana
4053,fatehabad district,215301,3757518,1,2021,haryana
4054,palwal district,335048,12710006,1,2021,haryana
4055,charkhi dadri district,88122,2051877,1,2021,haryana
4056,ambala district,307153,5271257,1,2021,haryana
4057,rewari district,453500,14968730,1,2021,haryana
4058,panchkula district,223482,3991694,1,2021,haryana
4059,bhiwani district,301458,7059970,1,2021,haryana
4060,sirsa district,310911,5229914,1,2021,haryana
4061,mewat district,284058,12278997,1,2021,haryana
4062,panipat district,423131,8104365,1,2021,haryana
4063,gurugram district,2262589,83093025,1,2021,haryana
4064,kaithal district,218191,3635272,1,2021,haryana
4065,kurukshetra district,260673,5020980,1,2021,haryana
4066,jhajjar district,337303,8526542,1,2021,haryana
4067,yamunanagar district,280813,4140694,2,2021,haryana
4068,sonipat district,510058,10153797,2,2021,haryana
4069,jind district,294468,7018936,2,2021,haryana
4070,rohtak district,353305,8816570,2,2021,haryana
4071,faridabad district,1360855,25686092,2,2021,haryana
4072,mahendragarh district,285025,8913568,2,2021,haryana
4073,hisar district,564047,14537419,2,2021,haryana
4074,karnal district,432042,7763201,2,2021,haryana
4075,fatehabad district,231017,5402129,2,2021,haryana
4076,palwal district,359544,11460235,2,2021,haryana
4077,charkhi dadri district,94774,2819667,2,2021,haryana
4078,ambala district,329225,4503822,2,2021,haryana
4079,rewari district,485784,12365298,2,2021,haryana
4080,panchkula district,239170,3407070,2,2021,haryana
4081,bhiwani district,324156,12104870,2,2021,haryana
4082,sirsa district,334240,8146123,2,2021,haryana
4083,mewat district,305382,10933219,2,2021,haryana
4084,panipat district,454218,7391815,2,2021,haryana
4085,gurugram district,2416391,49280675,2,2021,haryana
4086,kaithal district,234468,5633716,2,2021,haryana
4087,kurukshetra district,279452,4734143,2,2021,haryana
4088,jhajjar district,362160,8839447,2,2021,haryana
4089,yamunanagar district,302286,4998805,3,2021,haryana
4090,sonipat district,549613,12651379,3,2021,haryana
4091,jind district,317982,8521357,3,2021,haryana
4092,rohtak district,380370,11569534,3,2021,haryana
4093,faridabad district,1459758,32146169,3,2021,haryana
4094,mahendragarh district,307779,10733157,3,2021,haryana
4095,hisar district,606513,18684922,3,2021,haryana
4096,karnal district,464990,9193645,3,2021,haryana
4097,fatehabad district,248955,6679659,3,2021,haryana
4098,palwal district,387557,13201677,3,2021,haryana
4099,charkhi dadri district,102606,3311432,3,2021,haryana
4100,ambala district,354017,5432997,3,2021,haryana
4101,rewari district,522734,15554432,3,2021,haryana
4102,panchkula district,256782,4337099,3,2021,haryana
4103,bhiwani district,350185,14908880,3,2021,haryana
4104,sirsa district,360856,10580592,3,2021,haryana
4105,mewat district,329621,13505368,3,2021,haryana
4106,panipat district,489226,9399532,3,2021,haryana
4107,gurugram district,2589324,68064580,3,2021,haryana
4108,kaithal district,253117,6616730,3,2021,haryana
4109,kurukshetra district,300453,5682024,3,2021,haryana
4110,jhajjar district,390612,11110135,3,2021,haryana
4111,yamunanagar district,323121,7741855,4,2021,haryana
4112,sonipat district,588700,17748673,4,2021,haryana
4113,jind district,340969,9085091,4,2021,haryana
4114,rohtak district,407245,11928009,4,2021,haryana
4115,faridabad district,1559756,57438537,4,2021,haryana
4116,mahendragarh district,330237,14734337,4,2021,haryana
4117,hisar district,648827,20705821,4,2021,haryana
4118,karnal district,497166,13403200,4,2021,haryana
4119,fatehabad district,266637,7084866,4,2021,haryana
4120,palwal district,415495,22420687,4,2021,haryana
4121,charkhi dadri district,110066,3868580,4,2021,haryana
4122,ambala district,378472,9013011,4,2021,haryana
4123,rewari district,559494,26198366,4,2021,haryana
4124,panchkula district,274389,6464220,4,2021,haryana
4125,bhiwani district,375910,13585473,4,2021,haryana
4126,sirsa district,386829,9891781,4,2021,haryana
4127,mewat district,354072,22238348,4,2021,haryana
4128,panipat district,523678,15114769,4,2021,haryana
4129,gurugram district,2764490,123086843,4,2021,haryana
4130,kaithal district,271182,6547748,4,2021,haryana
4131,kurukshetra district,320754,8758143,4,2021,haryana
4132,jhajjar district,418950,15118629,4,2021,haryana
4133,yamunanagar district,342886,5261303,1,2022,haryana
4134,sonipat district,626016,8614006,1,2022,haryana
4135,jind district,362830,10010350,1,2022,haryana
4136,rohtak district,432623,11550480,1,2022,haryana
4137,faridabad district,1654074,12225903,1,2022,haryana
4138,mahendragarh district,351808,9461334,1,2022,haryana
4139,hisar district,689980,21824961,1,2022,haryana
4140,karnal district,527415,8478743,1,2022,haryana
4141,fatehabad district,283380,9129258,1,2022,haryana
4142,palwal district,441872,7644104,1,2022,haryana
4143,charkhi dadri district,117471,3325337,1,2022,haryana
4144,ambala district,401530,4395015,1,2022,haryana
4145,rewari district,595001,7829983,1,2022,haryana
4146,panchkula district,290799,3228748,1,2022,haryana
4147,bhiwani district,400556,19969949,1,2022,haryana
4148,sirsa district,411238,15813675,1,2022,haryana
4149,mewat district,377036,8636382,1,2022,haryana
4150,panipat district,556104,6462976,1,2022,haryana
4151,gurugram district,2929873,21160321,1,2022,haryana
4152,kaithal district,288578,8668955,1,2022,haryana
4153,kurukshetra district,340030,4582898,1,2022,haryana
4154,jhajjar district,445888,8953786,1,2022,haryana
4155,yamunanagar district,361342,5857085,2,2022,haryana
4156,sonipat district,661278,9608898,2,2022,haryana
4157,jind district,383193,11763338,2,2022,haryana
4158,rohtak district,456537,13062506,2,2022,haryana
4159,faridabad district,1743764,11143884,2,2022,haryana
4160,mahendragarh district,371882,10155289,2,2022,haryana
4161,hisar district,727942,24324343,2,2022,haryana
4162,karnal district,555939,10255701,2,2022,haryana
4163,fatehabad district,299086,10991972,2,2022,haryana
4164,palwal district,466861,7794734,2,2022,haryana
4165,charkhi dadri district,124320,3924588,2,2022,haryana
4166,ambala district,423290,4495249,2,2022,haryana
4167,rewari district,628614,7294508,2,2022,haryana
4168,panchkula district,306460,3344274,2,2022,haryana
4169,bhiwani district,423595,23796359,2,2022,haryana
4170,sirsa district,434030,18578192,2,2022,haryana
4171,mewat district,398639,8071396,2,2022,haryana
4172,panipat district,587006,7013327,2,2022,haryana
4173,gurugram district,3088176,19332862,2,2022,haryana
4174,kaithal district,304645,10330268,2,2022,haryana
